trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.899424648075924, 'e': 0.348093114492442}",20,6,13.86980695016863,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3446121833475176}",25,13,-35.083779821338354,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
108,False,"{'a': 0.8976275964304349, 'e': 0.34116606151404244}",25,0,-22.17328531583256,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
109,False,"{'a': 0.8967304174982355, 'e': 0.337754400898902}",20,7,24.64044699215564,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.334376856889913}",20,0,-29.507995883424115,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.894938748929031, 'e': 0.33103308832101386}",20,1,-26.53147620764108,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.3277227574378037}",25,2,5.607354763508706,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.8931506601160155, 'e': 0.3244455298634257}",20,0,-47.47310850666041,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.8922579558824083, 'e': 0.3212010745647914}",30,15,22.035698540957547,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.8913661439068313, 'e': 0.3179890638191435}",20,0,7.787939274861911,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.8904752232974726, 'e': 0.31480917318095203}",30,4,-41.879112189976965,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.3116610814491425}",30,7,36.967625480999935,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.8886960526146174, 'e': 0.30854447063465107}",20,0,-14.802945478989923,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
119,False,"{'a': 0.8878078007619501, 'e': 0.3054590259283046}",20,0,-12.873382222698996,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
120,False,"{'a': 0.8869204367171575, 'e': 0.30240443566902153}",25,14,17.310633929771093,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.8860339595928756, 'e': 0.2993803913123313}",30,20,15.676532590661987,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
